time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8
1735270864.7196014,3.408,3.380,3.381,3.382,3.383,3.382,3.384,3.378,26.960,23.8,23.9,24.1,24.2,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270865.7318916,3.409,3.381,3.382,3.382,3.383,3.383,3.384,3.378,26.960,23.8,23.8,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270866.7404833,3.409,3.381,3.382,3.383,3.384,3.383,3.384,3.378,26.980,23.8,23.9,24.2,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270867.7504468,3.410,3.382,3.383,3.383,3.384,3.382,3.385,3.379,26.960,23.9,23.9,24.2,24.2,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270868.7734482,3.410,3.382,3.383,3.384,3.384,3.383,3.385,3.379,26.970,23.8,23.9,24.2,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270869.7833135,3.410,3.382,3.383,3.384,3.385,3.384,3.385,3.379,26.980,23.8,23.9,24.2,24.2,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270870.7904232,3.411,3.383,3.384,3.385,3.385,3.384,3.386,3.380,26.980,23.9,23.9,24.2,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270871.7947414,3.411,3.383,3.384,3.385,3.386,3.385,3.386,3.380,26.990,23.8,23.9,24.2,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270872.7966228,3.412,3.384,3.385,3.385,3.386,3.385,3.387,3.381,26.980,23.8,23.8,24.1,24.2,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270873.8029447,3.412,3.384,3.385,3.386,3.386,3.386,3.387,3.381,26.990,23.8,23.8,24.1,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270874.818391,3.412,3.384,3.386,3.386,3.387,3.386,3.387,3.381,26.990,23.9,23.9,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270875.8239107,3.413,3.385,3.386,3.386,3.387,3.386,3.388,3.382,27.000,23.8,23.9,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270876.8285358,3.413,3.386,3.386,3.387,3.388,3.386,3.388,3.382,27.000,23.8,23.9,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270877.832666,3.413,3.386,3.386,3.387,3.388,3.387,3.389,3.383,27.000,23.8,23.9,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270878.8475385,3.414,3.386,3.387,3.388,3.388,3.387,3.389,3.383,27.000,23.9,23.8,24.2,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270879.8521688,3.414,3.386,3.387,3.388,3.388,3.387,3.388,3.383,27.000,23.8,23.9,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270880.867262,3.415,3.386,3.388,3.388,3.389,3.388,3.389,3.383,27.010,23.8,23.9,24.1,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270881.8805528,3.415,3.387,3.388,3.389,3.390,3.388,3.390,3.384,27.010,23.8,23.9,24.2,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270882.8919272,3.415,3.387,3.389,3.389,3.390,3.389,3.391,3.384,27.010,23.8,23.9,24.1,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270883.894475,3.416,3.388,3.389,3.390,3.391,3.389,3.391,3.384,27.020,23.8,23.9,24.2,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270884.9069612,3.416,3.388,3.389,3.390,3.391,3.390,3.391,3.385,27.020,23.9,24.0,24.2,24.3,59.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735270885.9114652,3.416,3.388,3.390,3.390,3.391,3.390,3.391,3.385,27.020,23.9,23.9,24.1,24.3,59.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
